TruthFinder	aa	0,0252000	15,4500	15,9000	0,400000	2,00357e+07	15,9300	15,4000	15,8500	18,4700	9,92000	1,06372e+09	22,1100	1,68600e+10	0,00760000	0,120000	0,710000
TruthFinder	aan	0,00750000	27,6700	27,9800	0,210000	491169	28,5900	27,5500	27,8800	29,3400	13,0000	8,00102e+07	18,1000	2,23000e+09	0,00190000	0,0500000	1,54000
TruthFinder	aapl	0,000700000	357,770	361,010	0,250000	1,49717e+07	361,610	356,340	358,020	364,900	235,560	9,24755e+08	17,0600	3,31080e+11	0,00000	0,00000	20,9800
TruthFinder	abat	0,0594000	1,07000	1,03000	0,0600000	2,21600e+06	1,10000	1,01000	1,01000	4,35000	0,790000	7,66192e+07	1,80000	8,20000e+07	0,00000	0,00000	0,570000
TruthFinder	abax	0,0346000	28,7600	29,8800	1,03000	60889,0	29,9000	28,7300	29,7900	31,6900	17,5400	2,27460e+07	44,9400	6,54200e+08	0,00000	0,00000	0,640000
TruthFinder	abbc	0,0190000	10,3200	10,5100	0,200000	18920,0	10,5300	10,2200	10,5200	13,2300	8,77000	2,02346e+07	26,4600	2,14690e+08	0,0228000	0,240000	0,390000
TruthFinder	abcb	0,0161000	9,14000	9,29000	0,150000	19452,0	9,29000	9,10000	9,29000	11,2000	7,75000	2,37660e+07	0,00000	2,17220e+08	0,00000	0,0500000	0,200000
TruthFinder	abg	0,0324000	18,7900	19,4300	0,630000	216446	19,6400	18,6400	19,4200	20,1200	10,0600	3,28744e+07	18,9800	6,17700e+08	0,00000	0,00000	1,52000
TruthFinder	abii	0,00480200	78,2500	86,5500	0,420000	0,00000	87,8900	86,5500	87,4700	106,290	80,2200	4,04656e+07	41,6000	3,16644e+09	0,00000	0,00000	1,87000
TruthFinder	abmd	0,0145000	16,3400	16,5800	0,240000	169667	16,6500	16,2100	16,5800	19,1900	8,63000	3,85098e+07	0,00000	6,42280e+08	0,00000	0,00000	0,320000
TruthFinder	acas	0,0120000	9,84000	10,0200	0,120000	3,81572e+06	10,1100	9,79500	9,96000	10,8500	4,79000	3,52666e+08	2,80000	3,47000e+09	0,00000	1,07000	3,56000
TruthFinder	acet	0,0186000	6,33000	6,48000	0,120000	94456,0	6,65000	6,32000	6,45000	9,47000	5,31000	2,66196e+07	17,1100	1,68500e+08	0,0310000	0,200000	0,370000
TruthFinder	aco	0,0388000	37,1800	38,8600	1,50000	80831,0	39,0300	37,1300	38,6800	42,7200	24,1600	3,14794e+07	33,9000	1,17000e+09	0,0186000	0,720000	1,14000
TruthFinder	acom	0,00530000	43,2200	43,4200	0,230000	1,07411e+06	44,8900	42,8100	43,4500	45,7900	17,2100	3,83300e+07	50,2600	1,95000e+09	0,00000	0,00000	0,850000
